date,status_of_system,latitude,longitude,max_sustained_wind,central_pressure,,,,,,,,,,,,,
18520925,HU,19.9N,68.8W,80,,,,,,,,,,,,,,
18520925,HU,20.0N,69.6W,80,,,,,,,,,,,,,,
18520926,HU,20.1N,70.3W,80,,,,,,,,,,,,,,
18520926,HU,20.4N,70.9W,80,,,,,,,,,,,,,,
18520926,HU,20.7N,71.6W,80,,,,,,,,,,,,,,
18520926,HU,21.0N,72.1W,80,,,,,,,,,,,,,,
18520927,HU,21.4N,73.0W,80,,,,,,,,,,,,,,
18520927,HU,21.9N,73.6W,80,,,,,,,,,,,,,,
18520927,HU,22.5N,74.0W,80,,,,,,,,,,,,,,
18520927,HU,23.2N,74.4W,80,,,,,,,,,,,,,,
18520928,HU,23.9N,74.6W,80,,,,,,,,,,,,,,
18520928,HU,24.6N,74.6W,80,,,,,,,,,,,,,,
18520928,HU,25.4N,74.5W,80,,,,,,,,,,,,,,
18520928,HU,26.5N,74.0W,80,,,,,,,,,,,,,,
18520929,HU,27.4N,73.5W,80,,,,,,,,,,,,,,
18520929,HU,28.2N,72.9W,80,,,,,,,,,,,,,,
18520929,HU,29.0N,72.3W,80,,,,,,,,,,,,,,
18520929,HU,30.2N,71.5W,80,,,,,,,,,,,,,,
18520930,HU,31.6N,70.5W,70,,,,,,,,,,,,,,
18520930,HU,32.7N,69.6W,70,,,,,,,,,,,,,,
18520930,HU,33.8N,69.1W,70,,,,,,,,,,,,,,
18520930,HU,34.9N,68.6W,70,,,,,,,,,,,,,,
18521006,HU,17.0N,73.8W,90,,,,,,,,,,,,,,
18521006,HU,17.1N,75.0W,90,,,,,,,,,,,,,,
18521006,HU,17.2N,76.3W,90,,,,,,,,,,,,,,
18521006,HU,17.2N,77.8W,90,,,,,,,,,,,,,,
18521007,HU,17.7N,79.6W,90,,,,,,,,,,,,,,
18521007,HU,18.2N,81.5W,90,,,,,,,,,,,,,,
18521007,HU,18.7N,83.1W,90,,,,,,,,,,,,,,
18521007,HU,19.5N,84.4W,90,,,,,,,,,,,,,,
18521008,HU,20.4N,85.5W,90,,,,,,,,,,,,,,
18521008,HU,21.2N,86.4W,90,,,,,,,,,,,,,,
18521008,HU,22.4N,86.9W,90,,,,,,,,,,,,,,
18521008,HU,24.0N,86.8W,90,,,,,,,,,,,,,,
18521009,HU,25.6N,86.4W,90,,,,,,,,,,,,,,
18521009,HU,26.9N,85.9W,90,,,,,,,,,,,,,,
18521009,HU,28.0N,85.5W,90,,,,,,,,,,,,,,
18521009,HU,29.2N,84.9W,90,,,,,,,,,,,,,,
18521009,HU,29.9N,84.4W,90,,,,,,,,,,,,,,
18521010,HU,30.5N,83.9W,80,,,,,,,,,,,,,,
18521010,TS,31.8N,82.8W,60,,,,,,,,,,,,,,
18521010,TS,33.0N,81.1W,50,,,,,,,,,,,,,,
18521010,TS,34.0N,79.5W,50,,,,,,,,,,,,,,
18521011,TS,35.0N,77.0W,50,,,,,,,,,,,,,,
18521011,TS,36.0N,74.0W,50,,,,,,,,,,,,,,
18521011,TS,38.0N,70.0W,60,,,,,,,,,,,,,,
18521011,TS,40.0N,66.0W,60,,,,,,,,,,,,,,
18530805,TS,32.5N,69.0W,50,,,,,,,,,,,,,,
18530810,TS,12.0N,60.0W,40,,,,,,,,,,,,,,
18530830,TS,12.1N,23.2W,40,,,,,,,,,,,,,,
18530830,TS,12.3N,25.1W,40,,,,,,,,,,,,,,
18530830,TS,12.5N,27.0W,40,,,,,,,,,,,,,,
18530830,TS,12.8N,28.9W,40,,,,,,,,,,,,,,
18530831,TS,13.0N,30.9W,50,,,,,,,,,,,,,,
18530831,TS,13.3N,33.0W,50,,,,,,,,,,,,,,
18530831,TS,13.6N,35.0W,60,,,,,,,,,,,,,,
18530831,TS,13.9N,36.8W,60,,,,,,,,,,,,,,
18530901,HU,14.2N,38.5W,70,,,,,,,,,,,,,,
18530901,HU,14.6N,40.5W,70,,,,,,,,,,,,,,
18530901,HU,14.9N,42.3W,80,,,,,,,,,,,,,,
18530901,HU,15.2N,43.9W,80,,,,,,,,,,,,,,
