Date,Actual,Forecast
2012-10-21,20.1,
2012-10-22,20.4,
2012-10-22,20.8,
2012-10-22,21.3,
2012-10-22,21.9,
2012-10-23,22.5,
2012-10-23,23.6,
2012-10-23,24.7,
2012-10-23,25.7,
2012-10-24,26.5,
2012-10-24,27.2,
2012-10-24,27.9,
2012-10-24,28.7,
2012-10-25,29.5,
2012-10-25,30.1,
2012-10-25,30.6,
2012-10-25,31.0,
2012-10-26,31.3,
2012-10-26,31.2,
2012-10-26,30.9,
2013-06-05,25.1,
2013-06-06,25.6,
2013-06-06,26.7,
2013-06-06,27.8,
2013-06-06,28.9,
2013-06-06,29.5,
2013-06-07,29.8,
2013-06-07,31.6,
2013-06-07,33.5,
2013-06-07,35.2,
2013-06-08,37.4,
2013-06-08,39.9,
2013-06-08,42.4,
2013-06-08,44.5,
2013-06-16,12.4,
2013-06-16,13.4,
2013-06-16,14.2,
2013-06-16,14.8,
2013-06-17,15.3,
2013-06-17,15.6,
2013-06-17,16.0,
2013-06-17,16.3,
2013-06-17,16.5,
2013-06-18,16.6,
2013-06-18,17.0,
2013-06-18,17.6,
2013-06-18,18.2,
2013-06-19,18.8,
2013-06-19,19.2,
2013-06-19,19.5,
2013-06-19,19.6,
2013-06-20,19.6,
2013-06-20,19.6,
2013-06-20,19.6,
2013-06-20,19.6,
2013-06-20,19.6,
2013-06-21,19.6,
2013-07-07,9.3,
2013-07-07,9.5,
2013-07-08,9.8,
2013-07-08,10.1,
2013-07-08,10.7,
2013-07-08,11.4,
2013-07-09,12.1,
2013-07-09,13.0,
2013-07-09,13.9,
2013-07-09,14.8,
2013-07-10,15.6,
2013-07-10,16.2,
2013-07-10,16.7,
2013-07-22,11.3,
2013-07-23,11.5,
2013-07-23,11.7,
2013-07-23,12.0,
2013-07-23,12.4,
2013-07-24,13.0,
2013-07-24,13.5,
2013-07-24,13.9,
2013-07-24,14.4,
2013-07-25,14.9,
2013-07-25,15.3,
2013-07-25,15.7,
2013-07-25,16.0,
2013-07-26,16.4,
2013-07-26,16.9,
2013-07-26,17.3,
2013-07-26,17.6,
2013-07-27,17.8,
2013-07-27,18.0,
2013-07-27,18.3,
2013-07-27,18.6,
2013-07-28,19.0,
2013-07-28,19.4,
2013-07-28,19.8,
2013-07-28,20.1,
2013-07-29,20.4,
2013-07-29,20.6,
2013-07-29,20.8,
2013-07-29,21.0,
2013-07-30,21.3,
2013-07-30,21.5,
2013-07-30,21.7,
2013-07-30,21.9,
2013-07-31,22.1,
2013-07-31,22.4,
2013-07-31,22.6,
2013-07-31,22.8,
2013-08-01,23.0,
2013-08-01,23.3,
2013-08-01,23.7,
2013-08-01,24.2,
2013-08-02,24.9,
2013-08-02,25.7,
2013-08-02,26.5,
2013-08-02,27.4,
2013-08-03,28.4,
2013-08-03,29.4,
2013-08-03,30.3,
2013-08-03,31.1,
2013-08-04,31.8,
2013-08-04,32.4,
2013-08-15,13.9,
2013-08-15,14.1,
2013-08-15,14.3,
2013-08-15,14.7,
2013-08-16,15.3,
2013-08-16,15.9,
2013-08-16,16.5,
2013-08-16,17.3,
2013-08-17,18.0,
2013-08-17,18.8,
2013-08-17,19.6,
2013-08-17,20.3,
2013-08-18,20.6,
2013-08-18,20.6,
2013-08-18,20.5,
2013-08-18,20.4,
2013-08-19,20.3,
2013-08-19,20.2,
